אהרן אבוחצירא,1938,Full
רפאל אדרי,1937,Full
אהוד אולמרט,1945,Full
חיים אורון,1940,Full
מיכאל איתן,1944,Full
רפאל איתן,1929,Full
שולמית אלוני,1928,Full
אריה לובה אליאב,1921,Full
שושנה ארבלי-אלמוזלינו,1926,Full
נאוה ארד,1938,Full
משה ארנס,1925,Full
זאב בנימין  בגין,1943,Full
אברהם בורג,1955,Full
יגאל ביבי,1942,Full
צ'רלי-שלום ביטון,1947,Full
יוסי ביילין,1948,Full
בנימין בן-אליעזר,1936,Full
אליהו בן-אלישר,1932,Full
אלי בן-מנחם,1947,Full
מיכאל בר-זוהר,1938,Full
חיים בר-לב,1924,Full
עוזי ברעם,1937,Full
גדעון גדות,1941,Full
תמר גוז'נסקי,1940,Partial
יוסף גולדברג,1942,Full
מיכה גולדמן,1948,Full
פנחס גולדשטיין,1939,Full
אפרים גור,1955,Full
מרדכי גור,1930,Full
גדליה גל,1933,Full
אריה גמליאל,1951,Full
משה גפני,1952,Full
פסח גרופר,1924,Full
שרה דורון,1922,Full
אלי דיין,1949,Full
שלמה דיין,1952,Full
עבד-אלוהאב דראושה,1943,Full
יגאל הורביץ,1918,Full
שלמה הלל,1923,Full
שמואל הלפרט,1939,Full
זבולון המר,1936,Full
צחי הנגבי,1957,Full
אליקים העצני,1926,Partial
שבח וייס,1935,Full
מאיר וילנר,1918,Partial
אריאל וינשטיין,1932,Full
עזר ויצמן,1924,Partial
מרדכי וירשובסקי,1930,Full
אליעזר ולדמן,1937,Partial
אברהם ורדיגר,1921,Full
רחבעם זאבי,1926,Full
תאופיק זיאד,1929,Partial
עמנואל זיסמן,1935,Full
מיכאל חריש,1936,Full
תופיק טובי,1922,Partial
סאלח טריף,1954,Partial
גד יעקבי,1935,Full
אברהם כ”ץ-עוז,1934,Full
גאולה כהן,1925,Full
יגאל כהן,1928,Partial
רן כהן,1937,Full
רענן כהן,1941,Full
לימור לבנת,1950,Partial
דוד לוי,1937,Full
יאיר לוי,1952,Full
יצחק לוי,1947,Full
דוד ליבאי,1934,Full
אוריאל לין,1935,Full
עוזי לנדאו,1943,Full
דוד מגן,1945,Full
יצחק מודעי,1926,Full
אליעזר מזרחי,1945,Full
האשם מחאמיד,1945,Partial
רוני מילוא,1949,Full
מוחמד מיעארי,1939,Full
חגי מירום,1946,Full
נואף מסאלחה,1943,Full
יהושע מצא,1931,Full
דן מרידור,1947,Full
יובל נאמן,1925,Partial
יצחק נבון,1921,Full
אורה נמיר,1930,Full
משה נסים,1935,Full
מוחמד נפאע,1940,Partial
בנימין נתניהו,1949,Full
עדנה סולודר,1930,Full
יוסף עזרן,1941,Full
עובדיה עלי,1945,Full
שאול עמור,1940,Full
חסיין פארס,1936,Full
אברהם פורז,1945,Full
חנן פורת,1943,Full
משה זאב פלדמן,1930,Full
רפאל פנחסי,1940,Full
מנחם פרוש,1916,Full
יהודה פרח,1924,Full
שמעון פרס,1923,Full
יצחק חיים פרץ,1938,Full
עמיר פרץ,1952,Full
גדעון פת,1933,Full
יאיר צבן,1930,Full
דוד צוקר,1948,Full
יעקב צור,1937,Full
יואש צידון,1926,Full
חיים קופמן,1934,Partial
חיים קורפו,1921,Partial
ישראל קיסר,1931,Full
מיכאל קליינר,1948,Partial
משה קצב,1945,Full
יצחק רבין,1922,Full
אברהם רביץ,1934,Full
אמנון רובינשטיין,1931,Full
ראובן ריבלין,1939,Full
חיים רמון,1950,Full
אבנר חי שאקי,1926,Full
יהושע שגיא,1933,Full
זלמן שובל,1930,Partial
אברהם בייגה שוחט,1936,Full
משה שחל,1934,Full
שמעון שטרית,1946,Full
דב שילנסקי,1924,Full
יעקב שמאי,1940,Full
יצחק שמיר,1915,Full
גרשון שפט,1927,Partial
יאיר שפרינצק,1911,Full
אריאל שרון,1928,Full
יוסי שריד,1940,Full
אברהם שריר,1932,Full
דן תיכון,1937,Full
