בנימין אבניאל,1906,Full
משה אונא,1902,Full
יעקב אורי,1888,Full
סיף א-דין א-זועבי,1913,Full
ברוך אזניה,1905,Full
בבה אידלסון,1885,Full
עזרא איכילוב,1907,Full
אריה אלטמן,1902,Full
אליהו אלישר,1899,Full
עמי אסף,1903,Full
יוסף אפרתי,1897,Full
מאיר ארגוב,1905,Full
חיים אריאב,1895,Full
משה ארם,1896,Full
זלמן ארן,1899,Full
לוי אשכול,1895,Full
שמחה בבה,1902,Full
מנחם בגין,1913,Full
יוחנן בדר,1905,Full
חיים בוגר,1876,Full
יוסף בורג,1909,Full
שמעון בז'רנו,1910,Full
יצחק בן-אהרן,1906,Full
אריה בן-אליעזר,1913,Partial
חיים בן-אשר,1904,Full
דוד בן-גוריון,1886,Full
מרדכי בנטוב,1900,Full
זלמן בן-יעקב,1897,Partial
שלמה ישראל בן-מאיר,1910,Partial
יצחק בן-צבי,1884,Partial
רוסתם בסתוני,1923,Full
הרצל ברגר,1904,Full
ישראל בר-יהודה,1895,Full
אברהם ברמן,1907,Full
פרץ ברנשטיין,1890,Full
דוד בר-רב-האי,1894,Full
עקיבא גוברין,1902,Full
ישראל גורי,1893,Full
אליהו משה גנחובסקי,1901,Full
שמעון גרידי,1912,Full
אברהם גרנות,1890,Partial
אברהם דויטש,1889,Partial
שמואל דיין,1891,Full
דוד הכהן,1898,Partial
אליהו הכרמלי,1891,Partial
שלמה הלל,1923,Partial
יחזקאל הן,1908,Partial
בן-ציון הראל,1892,Full
אברהם הרצפלד,1891,Full
יזהר הררי,1908,Full
אסתר וילנסקה,1918,Full
מאיר וילנר,1918,Full
זרח ורהפטיג,1906,Full
שלום זיסמן,1914,Full
אמיל חביבי,1922,Full
יעקב חזן,1899,Full
יעקב מיכאל חזני,1913,Full
פארס חמדאן,1910,Full
סאלח-חסן ח'ניפס,1913,Full
נחום חת,1896,Full
ז'ניה טברסקי,1904,Full
תופיק טובי,1922,Full
דב יוסף,1899,Full
מאיר יערי,1897,Full
ישראל ישעיהו-שרעבי,1908,Full
אידוב כהן,1909,Partial
קלמן כהנא,1910,Full
חיים כהן-מגורי,1913,Partial
אברהם כלפון,1900,Partial
יונה כסה,1907,Full
שרה כפרית,1900,Full
בת-שבע כצנלסון,1897,Full
פנחס לבון,1904,Full
שלמה לביא,1882,Full
קדיש לוז,1895,Full
יצחק מאיר לוין,1893,Full
שלמה לורינץ,1918,Full
אליעזר ליבנה,1902,Full
דוד ליבשיץ,1897,Full
חנה למדן,1905,Full
חיים לנדאו,1916,Full
גולדה מאיר,1898,Full
ג'בר מועדי,1919,Full
עדה מימון,1891,Full
בנימין מינץ,1903,Full
שמואל מיקוניס,1903,Full
יעקב מרידור,1913,Partial
מרדכי נורוק,1884,Full
יעקב ניצני,1900,Partial
מרדכי נמיר,1897,Full
פרץ נפתלי,1888,Full
דבורה נצר,1897,Full
זלמן סוזאיב,1911,Full
אברהם סטופ,1897,Full
יזהר סמילנסקי,1916,Full
משה סנה,1909,Full
יוסף ספיר,1902,Full
יוסף סרלין,1906,Full
ישעיהו פורדר,1901,Partial
ראובן פלדמן,1899,Full
ג'ורג' פלש,1909,Full
דוד צבי פנקס,1897,Partial
אליעזר פרי,1902,Full
שלמה פרלשטיין,1902,Full
שושנה פרסיץ,1892,Full
רחל צברי,1909,Partial
אהרן ציזלינג,1901,Full
משה קול,1911,Partial
יעקב קליבנוב,1887,Full
משה קלמר,1901,Full
ברוך קמין,1914,Partial
מסעד קסיס,1918,Full
אליעזר קפלן,1891,Partial
חנן רובין,1908,Full
פנחס רוזן,1887,Full
ישראל רוקח,1886,Full
אסתר רזיאל-נאור,1911,Full
אלימלך שמעון רימלט,1907,Full
יעקב ריפתין,1907,Full
יצחק רפאל,1914,Full
אליעזר שוסטק,1911,Partial
שניאור זלמן שזר,1889,Full
בכור שלום שטרית,1895,Full
חיים משה שפירא,1902,Full
יעקב שמשון שפירא,1902,Full
זאב שפר,1906,Full
יוסף שפרינצק,1884,Full
ראובן שרי,1903,Full
משה שרת,1894,Full
בנימין ששון,1903,Full
אפרים תבורי,1900,Full
