קולט אביטל,1939,Partial
עוזי אבן,1940,Partial
יולי יואל אדלשטיין,1958,Full
חיים אורון,1940,Partial
זבולון אורלב,1945,Full
אפי אושעיה,1956,Partial
דוד אזולאי,1954,Full
דליה איציק,1952,Full
מיכאל איתן,1944,Full
בנימין אלון,1954,Full
טלב אלסאנע,1960,Full
אורי יהודה אריאל,1952,Partial
משה ארנס,1925,Full
זאב בוים,1943,Partial
אברהם בורג,1955,Full
יגאל ביבי,1942,Full
יוסי ביילין,1948,Partial
נעמי בלומנטל,1943,Full
בנימין בן-אליעזר,1936,Full
שלמה בניזרי,1961,Full
אלי בן-מנחם,1947,Partial
שלמה בן-עמי,1943,Partial
רומן ברונפמן,1954,Full
ויקטור בריילובסקי,1935,Full
מוחמד ברכה,1955,Full
עוזי ברעם,1937,Partial
אהוד ברק,1942,Partial
עזמי בשארה,1956,Full
יצחק גאגולה,1964,Full
חוסניה ג'בארה,1958,Full
תמר גוז'נסקי,1940,Full
אלי גולדשמידט,1953,Partial
אילן גילאון,1956,Full
זהבה גלאון,1956,Full
יהודה גלעד,1955,Partial
אריה גמליאל,1951,Full
משה גפני,1952,Full
עבד-אלמאלכ דהאמשה,1945,Full
נסים דהן,1954,Full
יעל דיין,1939,Full
חיים דרוקמן,1932,Full
אברהם הירשזון,1941,Full
שמואל הלפרט,1939,Full
צחי הנגבי,1957,Full
צבי הנדל,1949,Partial
אבשלום וילן,1951,Full
מתן וילנאי,1944,Partial
יצחק וקנין,1958,Full
נסים זאב,1951,Full
רחבעם זאבי,1926,Partial
אליעזר זנדברג,1962,Full
עופר חוגי,1962,Full
נעמי חזן,1946,Full
תאופיק ח'טיב,1954,Full
אחמד טיבי,1958,Full
דוד טל,1950,Partial
סאלח טריף,1954,Full
שאול יהלום,1947,Full
אברהם יחזקאל,1958,Full
אליהו ישי,1962,Full
איתן כבל,1959,Partial
אלי כהן,1949,Partial
אליעזר כהן,1934,Full
אמנון כהן,1960,Full
יצחק כהן,1951,Full
רן כהן,1937,Full
רענן כהן,1941,Partial
מוחמד כנעאן,1955,Full
חיים כץ,1947,Full
יוסי כץ,1949,Full
ישראל כץ,1955,Full
ציפי לבני,1958,Full
לימור לבנת,1950,Full
דוד לוי,1937,Full
יצחק לוי,1947,Partial
מקסים לוי,1950,Partial
אביגדור ליברמן,1958,Full
אמנון ליפקין-שחק,1944,Partial
יעקב ליצמן,1948,Full
נחום לנגנטל,1960,Partial
עוזי לנדאו,1943,Full
סופה לנדבר,1949,Full
יחיאל לסרי,1957,Partial
יוסף לפיד,1931,Full
ענת מאור,1945,Full
דוד מגן,1945,Partial
האשם מחאמיד,1945,Full
עסאם מח'ול,1952,Full
רוני מילוא,1949,Full
רחמים מלול,1946,Full
מיכאל מלכיאור,1954,Full
נואף מסאלחה,1943,Full
יהושע מצא,1931,Partial
יצחק מרדכי,1944,Partial
דן מרידור,1947,Full
מרדכי משעני,1945,Partial
יהודית נאות,1944,Full
משולם נהרי,1951,Full
מיכאל נודלמן,1938,Full
דני נוה,1960,Full
אורית נוקד,1952,Partial
בנימין נתניהו,1949,Partial
אוריאל סביר,1953,Partial
יצחק סבן,1952,Full
אליהו סויסה,1956,Full
מרינה סולודקין,1952,Full
אפרים סנה,1944,Full
גדעון עזרא,1937,Full
אברהם פורז,1945,Full
חנן פורת,1943,Partial
אופיר פינס-פז,1961,Full
מאיר פרוש,1955,Full
יוסף יצחק פריצקי,1955,Full
שמעון פרס,1923,Full
יאיר פרץ,1954,Full
עמיר פרץ,1952,Full
פנחס צברי,1956,Partial
אלכסנדר צינקר,1953,Full
מיכאל קליינר,1948,Full
משה קצב,1945,Partial
איוב קרא,1955,Full
דליה רבין-פילוסוף,1950,Full
אברהם רביץ,1934,Full
אמנון רובינשטיין,1931,Partial
נחמה רונן,1961,Partial
מוסי רז,1965,Partial
ראובן ריבלין,1939,Full
גנדי ריגר,1948,Full
חיים רמון,1950,Full
צלי רשף,1953,Partial
אברהם בייגה שוחט,1936,Full
יובל שטייניץ,1958,Partial
מאיר שטרית,1947,Full
יורי שטרן,1949,Full
ויצמן שירי,1956,Full
סילבן שלום,1958,Full
שלום שמחון,1956,Full
אריאל שרון,1928,Full
יוסי שריד,1940,Full
נתן שרנסקי,1948,Full
