אבא אבן,1915,Full
בנימין אבניאל,1906,Full
אורי אבנרי,1923,Full
שניאור זלמן אברמוב,1908,Full
אהרן אוזן,1924,Full
משה אונא,1902,Full
סיף א-דין א-זועבי,1913,Full
עבד אל-עזיז א-זועבי,1926,Full
ברוך אזניה,1905,Full
יגאל אלון,1918,Full
שולמית אלוני,1928,Full
אריה לובה אליאב,1921,Full
נסים אליעד,1919,Partial
יוסף-אהרן אלמוגי,1910,Full
ארי אנקוריון,1908,Partial
שושנה ארבלי-אלמוזלינו,1926,Partial
ראובן ארזי,1907,Full
משה ארם,1896,Full
זלמן ארן,1899,Full
לוי אשכול,1895,Partial
מנחם בגין,1913,Full
יוחנן בדר,1905,Full
אריה בהיר,1906,Partial
יוסף בורג,1909,Full
מרדכי ביבי,1922,Full
אברהם ביטון,1923,Full
אריה בן-אליעזר,1913,Full
דוד בן-גוריון,1886,Full
שלמה ישראל בן-מאיר,1910,Full
מרדכי בן-פורת,1923,Full
אהרן בקר,1905,Full
משה ברעם,1911,Full
ראובן ברקת,1906,Full
חיים גבתי,1901,Partial
עקיבא גוברין,1902,Full
אהרן גולדשטיין,1902,Full
דוד גולומב,1933,Partial
יצחק גולן,1912,Partial
מטילדה גז,1918,Full
ישראל גלילי,1911,Full
שלמה יעקב גרוס,1908,Full
עמוס דגני,1926,Partial
שבתאי דון-יחיא,1909,Partial
משה דיין,1915,Full
צבי דינשטיין,1926,Full
גדעון האוזנר,1915,Full
דוד הכהן,1898,Full
רות הקטין,1901,Full
יזהר הררי,1908,Full
מאיר וילנר,1918,Full
אברהם ורדיגר,1921,Partial
זרח ורהפטיג,1906,Full
משה ורטמן,1924,Partial
פריג'א זוארץ,1907,Partial
מרדכי זר,1914,Full
אמיל חביבי,1922,Full
יעקב חזן,1899,Full
יעקב מיכאל חזני,1913,Full
אשר חסין,1918,Full
תופיק טובי,1922,Full
אברהם טיאר,1928,Full
מנחם ידיד,1918,Full
אהרן ידלין,1926,Full
מאיר יערי,1897,Full
ישראל ישעיהו-שרעבי,1908,Full
יעקב כ”ץ,1906,Partial
גבריאל כהן,1928,Full
מנחם כהן,1922,Full
קלמן כהנא,1910,Full
חיים כהן-מגורי,1913,Full
שלמה כהן-צידון,1923,Partial
משה כרמל,1911,Partial
קדיש לוז,1895,Full
דניאל יצחק לוי,1917,Full
יצחק מאיר לוין,1893,Full
שלמה לורינץ,1918,Full
אמנון לין,1924,Partial
חיים לנדאו,1916,Full
גולדה מאיר,1898,Full
ג'בר מועדי,1919,Full
שמואל מיקוניס,1903,Full
יעקב מרידור,1913,Full
אליהו מרידור,1914,Partial
יצחק נבון,1921,Full
אליאס נח'לה,1913,Full
מרדכי נמיר,1897,Full
דבורה נצר,1897,Full
דוב סדן,1902,Partial
מרדכי סורקיס,1908,Full
יזהר סמילנסקי,1916,Partial
טובה סנהדראי,1906,Full
יוסף ספיר,1902,Full
פנחס ספיר,1906,Full
משה סרדינס,1917,Full
יוסף סרלין,1906,Full
דיאב עוביד,1911,Full
ברוך עוזיאל,1901,Full
מרדכי עופר,1924,Full
יוסף פישר,1920,Full
נתן פלד,1913,Full
מנחם פרוש,1916,Full
שלמה פרלשטיין,1902,Full
שמעון פרס,1923,Full
דוד פתל,1921,Full
רחל צברי,1909,Full
חיים יוסף צדוק,1913,Full
צבי צור,1923,Partial
זאב צור,1911,Full
צבי צימרמן,1913,Full
משה קול,1911,Partial
יצחק הנס קלינגהופר,1905,Full
ישראל קרגמן,1906,Full
יוסף קרמרמן,1926,Full
שלמה רוזן,1905,Full
פנחס רוזן,1887,Partial
אסתר רזיאל-נאור,1911,Full
אלימלך שמעון רימלט,1907,Full
יצחק רפאל,1914,Full
אליעזר שוסטק,1911,Full
יוסף שופמן,1903,Full
שמואל שורש,1913,Full
בנימין שחור,1916,Full
בכור שלום שטרית,1895,Partial
מרדכי חיים שטרן,1914,Full
ויקטור שם-טוב,1915,Full
יהודה שערי,1920,Full
חיים משה שפירא,1902,Full
זאב שרף,1906,Full
אליהו ששון,1902,Full
אמה תלמי,1906,Full
שמואל תמיר,1923,Full
יוסף תמיר,1915,Full
