טלב אבו עראר,1967,Full
עפו אגבאריה,1949,Full
יולי יואל אדלשטיין,1958,Full
ליאור אדרי,1979,Partial
יצחק אהרונוביץ,1950,Full
שמעון אוחיון,1945,Full
אורי אורבך,1960,Partial
דוד אזולאי,1954,Full
אריאל אטיאס,1970,Partial
ישראל אייכלר,1955,Full
רוברט אילטוב,1971,Full
קארין אלהרר,1977,Full
זאב אלקין,1971,Full
אופיר אקוניס,1973,Full
גלעד ארדן,1970,Full
אורי יהודה אריאל,1952,Full
יעקב אשר,1965,Full
מיכל בירן,1978,Full
יואב בן צור,1958,Partial
בנימין בן-אליעזר,1936,Partial
אלי בן-דהן,1954,Full
נפתלי בנט,1972,Full
יחיאל חיליק בר,1975,Full
אבישי ברוורמן,1948,Full
מוחמד ברכה,1955,Full
עמר בר-לב,1953,Full
באסל גטאס,1956,Full
אילן גילאון,1956,Full
זהבה גלאון,1956,Full
גילה גמליאל,1974,Full
מסעוד גנאים,1965,Full
משה גפני,1952,Full
יעל גרמן,1947,Full
דני דנון,1971,Full
אריה מכלוף דרעי,1959,Partial
רונן הופמן,1963,Full
הלל אילן  הורוביץ,1964,Partial
ניצן הורוביץ,1965,Full
צחי הנגבי,1957,Full
יצחק הרצוג,1960,Full
אבי וורצמן,1970,Full
יצחק וקנין,1958,Full
נסים זאב,1951,Full
חנין זועבי,1969,Full
ג'מאל זחאלקה,1955,Full
תמר זנדברג,1976,Full
ציפי חוטובלי,1978,Full
דב חנין,1958,Full
ישראל חסון,1955,Partial
בועז טופורובסקי,1980,Full
אחמד טיבי,1958,Full
מרדכי יוגב,1956,Full
שלי יחימוביץ',1960,Full
משה יעלון,1950,Full
אליהו ישי,1962,Full
איתן כבל,1959,Full
אמנון כהן,1960,Full
יצחק כהן,1951,Full
מאיר כהן,1955,Full
זבולון כלפה,1962,Full
חיים כץ,1947,Full
ישראל כץ,1955,Full
עליזה לביא,1964,Full
ציפי לבני,1958,Full
לימור לבנת,1950,Full
מיקי לוי,1951,Full
אורלי לוי אבקסיס,1973,Full
יריב לוין,1969,Full
אביגדור ליברמן,1958,Full
לאון ליטינצקי,1967,Partial
דב ליפמן,1971,Full
יעקב ליצמן,1948,Full
עוזי לנדאו,1943,Full
סופה לנדבר,1949,Full
יאיר לפיד,1963,Full
ראלב מג'אדלה,1953,Partial
מנחם אליעזר מוזס,1946,Full
שולי מועלם-רפאלי,1965,Full
שאול מופז,1948,Full
משה מזרחי,1950,Full
אברהם מיכאלי,1957,Full
מרב מיכאלי,1966,Full
אלכס מילר,1977,Partial
עמרם מצנע,1945,Full
אורי מקלב,1957,Full
יעקב מרגי,1960,Full
אראל מרגלית,1961,Full
משולם נהרי,1951,Full
בנימין נתניהו,1949,Full
חנא סוייד,1955,Full
שמעון סולומון,1968,Full
אורית סטרוק,1960,Full
ניסן סלומינסקי,1946,Full
גדעון סער,1966,Partial
חמד עמאר,1964,Full
משה זלמן פייגלין,1962,Full
שי פירון,1965,Full
מאיר פרוש,1955,Full
יעקב פרי,1944,Full
עיסאווי פריג',1963,Full
רינה פרנקל,1956,Full
עמיר פרץ,1952,Full
דוד צור,1959,Full
יובל צלנר,1978,Partial
אברהים צרצור,1959,Full
עדי קול,1976,Full
פניה קירשנבאום,1955,Full
רות קלדרון,1961,Full
יפעת קריב,1973,Full
מירי מרים רגב,1965,Full
מיכל רוזין,1969,Full
מיקי רוזנטל,1955,Full
דוד רותם,1949,Full
יואל רזבוזוב,1980,Full
ראובן ריבלין,1939,Partial
כרמל שאמה הכהן,1973,Partial
יוני שטבון,1979,Full
יובל שטייניץ,1958,Full
מאיר שטרית,1947,Full
אלעזר שטרן,1956,Full
נחמן שי,1946,Full
סילבן שלום,1958,Full
עפר שלח,1960,Full
איציק שמולי,1980,Full
יאיר שמיר,1945,Full
סתיו שפיר,1985,Full
אילת שקד,1976,Full
פנינה תמנו,1981,Full
