אהרן אבוחצירא,1938,Full
חמאד אבו-רביעה,1929,Full
אליעזר אבטבי,1938,Full
אבא אבן,1915,Full
שניאור זלמן אברמוב,1908,Full
יהודה מאיר אברמוביץ,1915,Full
אהוד אולמרט,1945,Full
סיף א-דין א-זועבי,1913,Full
עבד אל-עזיז א-זועבי,1926,Partial
צבי אלדרוטי,1934,Partial
יגאל אלון,1918,Full
שולמית אלוני,1928,Full
אריה לובה אליאב,1921,Full
נסים אליעד,1919,Partial
יוסף-אהרן אלמוגי,1910,Full
עדיאל אמוראי,1934,Full
יעקב ז`אק אמיר,1933,Partial
ארי אנקוריון,1908,Full
אהרון אפרת,1911,Full
שושנה ארבלי-אלמוזלינו,1926,Full
יורם ארידור,1933,Full
שמחה ארליך,1915,Full
משה ארנס,1925,Full
ידידיה בארי,1931,Full
מנחם בגין,1913,Full
יוחנן בדר,1905,Full
יוסף בורג,1909,Full
יצחק בן-אהרן,1906,Full
יהודה בן-מאיר,1939,Full
מרדכי בן-פורת,1923,Full
משה ברעם,1911,Full
יצחק גולן,1912,Partial
מטילדה גז,1918,Full
אברהם גיבלבר,1910,Full
ישראל גלילי,1911,Full
שלמה יעקב גרוס,1908,Partial
חייקה גרוסמן-אורקין,1919,Full
פסח גרופר,1924,Full
צבי גרשוני,1915,Partial
משה דיין,1915,Full
ליאון דיציאן,1911,Full
מתתיהו דרובלס,1931,Full
יהודה דרניצקי,1910,Full
גדעון האוזנר,1915,Partial
עמוס הדר,1923,Partial
יגאל הורביץ,1918,Full
מנחם הכהן,1932,Full
בנימין הלוי,1910,Partial
שלמה הלל,1923,Full
זבולון המר,1936,Full
אסתר הרליץ,1921,Full
מאיר וילנר,1918,Full
אברהם ורדיגר,1921,Full
זרח ורהפטיג,1906,Full
משה ורטמן,1924,Full
תאופיק זיאד,1929,Full
הלל זיידל,1920,Full
אברהם זילברברג,1915,Full
דב זכין,1922,Full
יעקב מיכאל חזני,1913,Partial
בן-ציון חלפון,1930,Full
מיכאל חריש,1936,Full
תופיק טובי,1922,Full
מנחם ידיד,1918,Full
אהרן ידלין,1926,Full
סנטה יוספטל,1912,Partial
גד יעקבי,1935,Full
אביעד יפה,1923,Full
אברהם יפה,1913,Full
אהרן יריב,1920,Partial
ישראל ישעיהו-שרעבי,1908,Full
גאולה כהן,1925,Full
יגאל כהן,1928,Partial
קלמן כהנא,1910,Full
מאיר כהן-אבידב,1926,Full
אברהם כץ,1931,Full
משה כרמל,1911,Full
אברהם לבנבראון,1916,Full
איתן לבני,1919,Full
דוד לוי,1937,Full
שלום לוין,1916,Full
שלמה לורינץ,1918,Full
אמנון לין,1924,Full
ציטה לינקר,1917,Partial
חיים לנדאו,1916,Full
יחיאל לקט,1941,Partial
גולדה מאיר,1898,Partial
בועז מואב,1938,Full
יצחק מודעי,1926,Full
אליהו מויאל,1920,Full
ג'בר מועדי,1919,Full
אברהם מלמד,1921,Full
יצחק נבון,1921,Full
עקיבא נוף,1936,Partial
אורה נמיר,1930,Full
משה נסים,1935,Full
אמל נסראלדין,1928,Partial
פנחס ספיר,1906,Partial
אברהם עופר,1922,Partial
עוזי פיינרמן,1924,Partial
יחזקאל פלומין,1935,Full
מאיר פעיל,1926,Full
מנחם פרוש,1916,Partial
מרשה פרידמן,1938,Full
שמחה פרידמן,1911,Partial
יעקב פרנק,1913,Partial
שמעון פרס,1923,Full
יצחק פרץ,1936,Full
גדעון פת,1933,Full
חיים יוסף צדוק,1913,Full
משה קול,1911,Partial
חיים קופמן,1934,Partial
דוד קורן,1917,Full
חיים קורפו,1921,Full
נוזהת קצב,1932,Full
ישראל קרגמן,1906,Full
יוסף קרמרמן,1926,Full
בן-ציון קשת,1914,Full
יצחק רבין,1922,Full
אליעזר רונן,1931,Full
אלימלך שמעון רימלט,1907,Full
יצחק רפאל,1914,Full
זלמן שובל,1930,Full
אליעזר שוסטק,1911,Full
משה שחל,1934,Full
פנחס שינמן,1912,Full
אברהם שכטרמן,1910,Full
יצחק שמיר,1915,Full
חביב שמעוני,1933,Partial
יהודה שערי,1920,Full
אריאל שרון,1928,Partial
יוסי שריד,1940,Full
מאיר תלמי,1909,Full
שמואל תמיר,1923,Partial
יוסף תמיר,1915,Full
