לביב חוסיין אבו-רוכן,1911,Full
אבא אבן,1915,Full
בנימין אבניאל,1906,Full
שניאור זלמן אברמוב,1908,Full
אחמד א-ד'אהר,1906,Full
מרדכי אולמרט,1908,Full
משה אונא,1902,Full
ברוך אזניה,1905,Full
בבה אידלסון,1885,Full
עזרא איכילוב,1907,Full
יגאל אלון,1918,Partial
אריה אלטמן,1902,Full
יוסף-אהרן אלמוגי,1910,Full
מחמוד א-נאשף,1906,Full
עמי אסף,1903,Full
יוסף אפרתי,1897,Full
מאיר ארגוב,1905,Full
בנימין ארדיטי,1897,Full
זלמן ארן,1899,Full
לוי אשכול,1895,Full
מנחם בגין,1913,Full
יוחנן בדר,1905,Full
יוסף בורג,1909,Full
מרדכי ביבי,1922,Full
יצחק בן-אהרן,1906,Full
אריה בן-אליעזר,1913,Full
דוד בן-גוריון,1886,Full
מרדכי בנטוב,1900,Full
גדעון בן-ישראל,1923,Full
שלמה ישראל בן-מאיר,1910,Full
אהרן בקר,1905,Partial
הרצל ברגר,1904,Full
ישראל ברזילי,1913,Full
ישראל בר-יהודה,1895,Full
פרץ ברנשטיין,1890,Full
משה ברעם,1911,Full
דוד בר-רב-האי,1894,Full
עקיבא גוברין,1902,Full
יצחק גולן,1912,Full
ישראל גורי,1893,Full
ישראל גלילי,1911,Full
שלמה יעקב גרוס,1908,Partial
אהרן יעקב גרינברג,1900,Full
עמוס דגני,1926,Full
יוסף דיאב,1917,Full
משה דיין,1915,Full
אברהם דרורי,1919,Partial
דוד הכהן,1898,Full
רות הקטין,1901,Partial
אברהם הרצפלד,1891,Full
יזהר הררי,1908,Full
מאיר וילנר,1918,Partial
זרח ורהפטיג,1906,Full
פריג'א זוארץ,1907,Full
מרדכי זר,1914,Full
יעקב חזן,1899,Full
יעקב מיכאל חזני,1913,Full
יוסוף ח'מיס,1921,Full
אשר חסין,1918,Full
ז'ניה טברסקי,1904,Full
תופיק טובי,1922,Full
אהרן ידלין,1926,Partial
חיים יהודה,1917,Partial
שמשון יוניצ'מן,1907,Partial
גיורא יוספטל,1912,Full
מאיר יערי,1897,Full
ישראל ישעיהו-שרעבי,1908,Full
יעקב כ”ץ,1906,Full
אידוב כהן,1909,Full
מנחם כהן,1922,Full
קלמן כהנא,1910,Full
חיים כהן-מגורי,1913,Full
שמעון כנוביץ',1900,Full
יונה כסה,1907,Full
משה כרמל,1911,Full
פנחס לבון,1904,Full
קדיש לוז,1895,Full
יצחק מאיר לוין,1893,Full
נחום לוין,1905,Full
שלמה לורינץ,1918,Full
חנה למדן,1905,Full
חיים לנדאו,1916,Full
גולדה מאיר,1898,Full
בנימין מינץ,1903,Partial
שמואל מיקוניס,1903,Full
יעקב מרידור,1913,Full
אליהו מרידור,1914,Full
מרדכי נורוק,1884,Full
אליאס נח'לה,1913,Full
נחום ניר,1884,Full
מרדכי נמיר,1897,Full
משה נסים,1935,Full
דבורה נצר,1897,Full
יזהר סמילנסקי,1916,Full
משה סנה,1909,Partial
טובה סנהדראי,1906,Full
יוסף ספיר,1902,Full
פנחס ספיר,1906,Full
משה סרדינס,1917,Full
יוסף סרלין,1906,Full
יוסף פישר,1920,Full
מנחם פרוש,1916,Full
שמעון פרס,1923,Full
דוד פתל,1921,Full
רחל צברי,1909,Full
חיים יוסף צדוק,1913,Full
צבי צימרמן,1913,Full
משה קול,1911,Full
יצחק קורן,1911,Full
יוסף קושניר,1900,Partial
ישראל קרגמן,1906,Full
חנן רובין,1908,Full
פנחס רוזן,1887,Full
אסתר רזיאל-נאור,1911,Full
אלימלך שמעון רימלט,1907,Full
יעקב ריפתין,1907,Full
יצחק רפאל,1914,Full
אליעזר שוסטק,1911,Full
יוסף שופמן,1903,Full
שמואל שורש,1913,Full
בנימין שחור,1916,Full
בכור שלום שטרית,1895,Full
שבתאי שיכמן,1915,Full
חיים משה שפירא,1902,Full
משה שרת,1894,Full
אמה תלמי,1906,Full
