דורון אביטל,1959,Partial
נינו אבסדזה,1965,Partial
רוחמה אברהם בלילא,1964,Full
עפו אגבאריה,1949,Full
רחל אדטו,1970,Full
יולי יואל אדלשטיין,1958,Full
אללי אדמסו,1962,Partial
יעקב אדרי,1950,Full
יצחק אהרונוביץ,1950,Full
אורי אורבך,1960,Full
חיים אורון,1940,Partial
זבולון אורלב,1945,Full
דוד אזולאי,1954,Full
אריאל אטיאס,1970,Full
ישראל אייכלר,1955,Partial
דניאל אילון,1955,Full
רוברט אילטוב,1971,Full
דליה איציק,1952,Full
מיכאל איתן,1944,Full
אריה אלדד,1950,Full
טלב אלסאנע,1960,Full
זאב אלקין,1971,Full
חיים אמסלם,1959,Full
אלי אפללו,1952,Partial
אופיר אקוניס,1973,Full
גלעד ארדן,1970,Full
אורי יהודה אריאל,1952,Full
זאב בנימין  בגין,1943,Full
זאב בוים,1943,Partial
אריה ביבי,1943,Full
זאב בילסקי,1949,Full
בנימין בן-אליעזר,1936,Full
מיכאל בן-ארי,1963,Full
דניאל בן-סימון,1954,Full
רוני בר-און,1948,Full
אבישי ברוורמן,1948,Full
מוחמד ברכה,1955,Full
אהוד ברק,1942,Full
אילן גילאון,1956,Full
זהבה גלאון,1956,Partial
גילה גמליאל,1974,Full
מסעוד גנאים,1965,Full
משה גפני,1952,Full
אחמד דבאח,1955,Partial
אברהם דואן,1955,Partial
אבי דיכטר,1952,Partial
דני דנון,1971,Full
ניצן הורוביץ,1965,Full
צחי הנגבי,1957,Partial
יצחק הרצוג,1960,Full
דניאל הרשקוביץ,1953,Full
מגלי והבה,1954,Full
מתן וילנאי,1944,Partial
עינת וילף,1970,Partial
יצחק וקנין,1958,Full
נסים זאב,1951,Full
אורית זוארץ,1967,Full
חנין זועבי,1969,Full
ג'מאל זחאלקה,1955,Full
ציפי חוטובלי,1978,Full
דב חנין,1958,Full
אכרם  חסון,1959,Partial
יואל חסון,1973,Full
ישראל חסון,1955,Full
שי חרמש,1944,Full
אחמד טיבי,1958,Full
רוברט טיבייב,1961,Full
שלי יחימוביץ',1960,Full
משה יעלון,1950,Full
אליהו ישי,1962,Full
יעקב כ”ץ,1951,Full
איתן כבל,1959,Full
אמנון כהן,1960,Full
יצחק כהן,1951,Full
משה כחלון,1960,Full
חיים כץ,1947,Full
ישראל כץ,1955,Full
ציפי לבני,1958,Partial
לימור לבנת,1950,Full
אורלי לוי אבקסיס,1973,Full
יריב לוין,1969,Full
אביגדור ליברמן,1958,Full
יעקב ליצמן,1948,Full
עוזי לנדאו,1943,Full
סופה לנדבר,1949,Full
ראלב מג'אדלה,1953,Partial
מנחם אליעזר מוזס,1946,Full
שלמה מולה,1965,Full
שאול מופז,1948,Full
משה מוץ מטלון,1953,Full
אברהם מיכאלי,1957,Full
אנסטסיה מיכאלי,1975,Full
אלכס מילר,1977,Full
סטס מיסז'ניקוב,1969,Full
אורי מקלב,1957,Full
יעקב מרגי,1960,Full
דן מרידור,1947,Full
יורם מרציאנו,1964,Partial
משולם נהרי,1951,Full
אורית נוקד,1952,Full
לאה נס,1961,Full
סעיד נפאע,1953,Full
בנימין נתניהו,1949,Full
חנא סוייד,1955,Full
מרינה סולודקין,1952,Full
גדעון סער,1966,Full
גדעון עזרא,1937,Partial
חמד עמאר,1964,Full
ציון פיניאן,1951,Full
אופיר פינס-פז,1961,Partial
יוסי פלד,1941,Partial
יוחנן פלסנר,1972,Full
מאיר פרוש,1955,Partial
עמיר פרץ,1952,Partial
יובל צלנר,1978,Partial
אברהים צרצור,1959,Full
פניה קירשנבאום,1955,Full
איוב קרא,1955,Full
מירי מרים רגב,1965,Full
דוד רותם,1949,Full
ראובן ריבלין,1939,Full
חיים רמון,1950,Partial
כרמל שאמה הכהן,1973,Full
יובל שטייניץ,1958,Full
מאיר שטרית,1947,Full
נחמן שי,1946,Full
סילבן שלום,1958,Full
יוליה שמאלוב ברקוביץ',1964,Partial
שלום שמחון,1956,Full
ליה שמטוב,1958,Full
שכיב שנאן,1961,Partial
עתניאל שנלר,1952,Full
רונית תירוש,1953,Full
יולי תמיר,1954,Partial
