יולי יואל אדלשטיין,1958,Full
רפאל אדרי,1937,Full
אהוד אולמרט,1945,Partial
אורי אור,1939,Full
חיים אורון,1940,Full
אפי אושעיה,1956,Full
דוד אזולאי,1954,Full
דליה איציק,1952,Full
מיכאל איתן,1944,Full
רפאל איתן,1929,Full
רפאל אלול,1957,Full
בנימין אלון,1954,Full
טלב אלסאנע,1960,Full
זאב בנימין  בגין,1943,Full
פיני בדש,1952,Partial
זאב בוים,1943,Full
יגאל ביבי,1942,Full
יוסי ביילין,1948,Full
נעמי בלומנטל,1943,Full
בנימין בן-אליעזר,1936,Full
אליהו בן-אלישר,1932,Partial
שלמה בניזרי,1961,Full
אלי בן-מנחם,1947,Full
שלמה בן-עמי,1943,Full
שמריהו בן-צור,1944,Full
רומן ברונפמן,1954,Full
עוזי ברעם,1937,Full
אהוד ברק,1942,Full
עזמי בשארה,1956,Full
אליהו גבאי,1943,Partial
תמר גוז'נסקי,1940,Full
מיכה גולדמן,1948,Full
אלי גולדשמידט,1953,Full
אריה גמליאל,1951,Full
משה גפני,1952,Partial
עבד-אלמאלכ דהאמשה,1945,Full
נסים דהן,1954,Full
חיים דיין,1960,Full
יעל דיין,1939,Full
עבד-אלוהאב דראושה,1943,Full
אריה מכלוף דרעי,1959,Full
אברהם הירשזון,1941,Full
שמואל הלפרט,1939,Full
זבולון המר,1936,Partial
צחי הנגבי,1957,Full
צבי הנדל,1949,Full
יהודה הראל,1934,Full
צבי ויינברג,1935,Full
שבח וייס,1935,Full
יצחק וקנין,1958,Full
רחבעם זאבי,1926,Full
נסים זוילי,1942,Full
עמנואל זיסמן,1935,Full
אליעזר זנדברג,1962,Full
רפיק חאג' יחיא,1949,Partial
ווליד חאג' יחיא,1936,Full
נעמי חזן,1946,Full
תאופיק ח'טיב,1954,Full
דוד טל,1950,Full
סאלח טריף,1954,Full
יונה יהב,1944,Full
שאול יהלום,1947,Full
אברהם יחזקאל,1958,Full
אליהו ישי,1962,Full
איתן כבל,1959,Partial
יצחק כהן,1951,Full
רן כהן,1937,Full
רענן כהן,1941,Full
יוסי כץ,1949,Full
ישראל כץ,1955,Partial
לימור לבנת,1950,Full
אלכסנדר לובוצקי,1956,Full
דוד לוי,1937,Full
יצחק לוי,1947,Full
מקסים לוי,1950,Full
דוד ליבאי,1934,Partial
אברהם לייזרזון,1943,Partial
עוזי לנדאו,1943,Full
סופה לנדבר,1949,Full
יהודה לנקרי,1947,Full
ענת מאור,1945,Full
אדיסו מאסלה,1961,Full
דוד מגן,1945,Full
האשם מחאמיד,1945,Full
חגי מירום,1946,Full
נואף מסאלחה,1943,Full
יהושע מצא,1931,Full
יצחק מרדכי,1944,Full
דן מרידור,1947,Full
מיכאל נודלמן,1938,Full
בנימין נתניהו,1949,Full
מרינה סולודקין,1952,Full
ניסן סלומינסקי,1946,Partial
סאלח סלים,1953,Full
אפרים סנה,1944,Full
אחמד סעד,1945,Full
גדעון עזרא,1937,Full
שאול עמור,1940,Full
אברהם פורז,1945,Full
חנן פורת,1943,Full
אופיר פינס-פז,1961,Full
משה פלד,1945,Full
רפאל פנחסי,1940,Full
מאיר פרוש,1955,Full
שמעון פרס,1923,Full
עמיר פרץ,1952,Full
דוד צוקר,1948,Full
אביגדור קהלני,1944,Full
מיכאל קליינר,1948,Full
משה קצב,1945,Full
דוד ראם,1953,Full
אברהם רביץ,1934,Full
אמנון רובינשטיין,1931,Full
ראובן ריבלין,1939,Partial
חיים רמון,1950,Full
אבנר חי שאקי,1926,Full
אברהם בייגה שוחט,1936,Full
משה שחל,1934,Partial
מאיר שטרית,1947,Full
אברהם שטרן,1935,Partial
יורי שטרן,1949,Full
סילבן שלום,1958,Full
דורון שמואלי,1954,Partial
שלום שמחון,1956,Full
אריאל שרון,1928,Full
יוסי שריד,1940,Full
נתן שרנסקי,1948,Full
דן תיכון,1937,Full
