אהרן אבוחצירא,1938,Full
חמאד אבו-רביעה,1929,Partial
אליעזר אבטבי,1938,Full
אבא אבן,1915,Full
אורי אבנרי,1923,Partial
יהודה מאיר אברמוביץ,1915,Full
אהוד אולמרט,1945,Full
סיף א-דין א-זועבי,1913,Partial
מרדכי אלגרבלי,1944,Full
יגאל אלון,1918,Partial
שולמית אלוני,1928,Full
אריה לובה אליאב,1921,Partial
שלמה אליהו,1936,Partial
עדיאל אמוראי,1934,Full
יעקב ז`אק אמיר,1933,Full
שפיק אסעד,1937,Full
שושנה ארבלי-אלמוזלינו,1926,Full
יורם ארידור,1933,Full
שמחה ארליך,1915,Full
משה ארנס,1925,Full
תמר אשל,1920,Full
מנחם בגין,1913,Full
אליקים-גוסטב בדיאן,1925,Full
יוסף בורג,1909,Full
צ'רלי-שלום ביטון,1947,Full
יהודה בן-מאיר,1939,Full
חיים בר-לב,1924,Full
יצחק ברמן,1913,Full
עוזי ברעם,1937,Full
דוד גולומב,1933,Full
דוד גלס,1936,Full
שלמה יעקב גרוס,1908,Full
חייקה גרוסמן-אורקין,1919,Full
פסח גרופר,1924,Full
שרה דורון,1922,Full
משה דיין,1915,Full
מיכאל דקל,1920,Full
חיים דרוקמן,1932,Full
גדעון האוזנר,1915,Full
עמוס הדר,1923,Full
יגאל הורביץ,1918,Full
מנחם הכהן,1932,Full
בנימין הלוי,1910,Full
שלמה הלל,1923,Full
זבולון המר,1936,Full
אסתר הרליץ,1921,Partial
מאיר וילנר,1918,Full
עזר ויצמן,1924,Full
מרדכי וירשובסקי,1930,Full
זרח ורהפטיג,1906,Full
זאב ורטהיימר,1926,Partial
מאיר זורע,1923,Partial
תאופיק זיאד,1929,Full
הלל זיידל,1920,Full
יחזקאל זכאי,1932,Full
ווליד חאג' יחיא,1936,Partial
מיכאל חריש,1936,Full
יהודה חשאי,1934,Partial
תופיק טובי,1922,Full
שמואל טולידנו,1921,Full
אסף יגורי,1931,Full
יגאל ידין,1917,Full
אהרן ידלין,1926,Partial
גד יעקבי,1935,Full
יצחק יצחקי,1936,Full
אברהם כ”ץ-עוז,1934,Partial
גאולה כהן,1925,Full
יגאל כהן,1928,Full
קלמן כהנא,1910,Full
מאיר כהן-אבידב,1926,Full
יגאל כהן-אורגד,1937,Full
אברהם כץ,1931,Full
זאב כץ,1923,Partial
אברהם לבנבראון,1916,Partial
איתן לבני,1919,Full
דוד לוי,1937,Full
סטלה לוי,1924,Partial
שלמה לורינץ,1918,Full
אמנון לין,1924,Full
יצחק מודעי,1926,Full
חנא מוויס,1913,Partial
אליהו מויאל,1920,Full
ג'בר מועדי,1919,Partial
רוני מילוא,1949,Full
אברהם מלמד,1921,Full
משה מרון,1926,Full
סעדיה מרציאנו,1950,Partial
ירוחם משל,1912,Full
יצחק נבון,1921,Partial
עקיבא נוף,1936,Full
אורה נמיר,1930,Full
משה נסים,1935,Full
אמל נסראלדין,1928,Full
מנחם סבידור,1917,Full
זיידאן עטשי,1940,Full
משה עמאר,1922,Full
מאיר עמית,1921,Full
נפתלי פדר,1920,Full
שמואל פלאטו-שרון,1930,Full
יחזקאל פלומין,1935,Full
מאיר פעיל,1926,Partial
מנחם פרוש,1916,Full
שמעון פרס,1923,Full
יצחק פרץ,1936,Full
גדעון פת,1933,Full
חיים יוסף צדוק,1913,Partial
מרדכי צפורי,1924,Full
חיים קופמן,1934,Full
חיים קורפו,1921,Full
משה קצב,1945,Full
יצחק רבין,1922,Full
יהושע רבינוביץ',1911,Partial
בן-ציון רובין,1939,Full
אמנון רובינשטיין,1931,Full
דניאל רוזוליו,1927,Full
יוסף רום,1932,Full
אמרי רון,1936,Partial
שמואל רכטמן,1924,Partial
זלמן שובל,1930,Full
אליעזר שוסטק,1911,Full
משה שחל,1934,Full
דוד שטרן,1910,Partial
שרה שטרן-קטן,1919,Full
דב שילנסקי,1924,Full
פנחס שינמן,1912,Full
יצחק שמיר,1915,Full
משה שמיר,1921,Full
אליהו שפייזר,1930,Full
אריאל שרון,1928,Full
יוסי שריד,1940,Full
אברהם שריר,1932,Full
מאיר תלמי,1909,Full
שמואל תמיר,1923,Full
יוסף תמיר,1915,Full
